Record Num  Tool Name                       Quantity         Cost
1           unassigned                      0                0.00
2           unassigned                      0                0.00
3           unassigned                      0                0.00
4           unassigned                      0                0.00
5           unassigned                      0                0.00
6           unassigned                      0                0.00
7           unassigned                      0                0.00
8           unassigned                      0                0.00
9           unassigned                      0                0.00
10          unassigned                      0                0.00
11          unassigned                      0                0.00
12          unassigned                      0                0.00
13          unassigned                      0                0.00
14          unassigned                      0                0.00
15          unassigned                      0                0.00
16          unassigned                      0                0.00
17          unassigned                      0                0.00
18          unassigned                      0                0.00
19          unassigned                      0                0.00
20          unassigned                      0                0.00
21          unassigned                      0                0.00
22          unassigned                      0                0.00
23          unassigned                      0                0.00
24          unassigned                      0                0.00
25          unassigned                      0                0.00
26          unassigned                      0                0.00
27          unassigned                      0                0.00
28          unassigned                      0                0.00
29          unassigned                      0                0.00
30          unassigned                      0                0.00
31          unassigned                      0                0.00
32          unassigned                      0                0.00
33          unassigned                      0                0.00
34          unassigned                      0                0.00
35          unassigned                      0                0.00
36          unassigned                      0                0.00
37          unassigned                      0                0.00
38          unassigned                      0                0.00
39          unassigned                      0                0.00
40          unassigned                      0                0.00
41          unassigned                      0                0.00
42          unassigned                      0                0.00
43          unassigned                      0                0.00
44          unassigned                      0                0.00
45          unassigned                      0                0.00
46          unassigned                      0                0.00
47          unassigned                      0                0.00
48          unassigned                      0                0.00
49          unassigned                      0                0.00
50          unassigned                      0                0.00
51          unassigned                      0                0.00
52          unassigned                      0                0.00
53          unassigned                      0                0.00
54          unassigned                      0                0.00
55          unassigned                      0                0.00
56          unassigned                      0                0.00
57          unassigned                      0                0.00
58          unassigned                      0                0.00
59          unassigned                      0                0.00
60          unassigned                      0                0.00
61          unassigned                      0                0.00
62          unassigned                      0                0.00
63          unassigned                      0                0.00
64          unassigned                      0                0.00
65          unassigned                      0                0.00
66          unassigned                      0                0.00
67          unassigned                      0                0.00
68          unassigned                      0                0.00
69          unassigned                      0                0.00
70          unassigned                      0                0.00
71          unassigned                      0                0.00
72          unassigned                      0                0.00
73          unassigned                      0                0.00
74          unassigned                      0                0.00
75          unassigned                      0                0.00
76          unassigned                      0                0.00
77          unassigned                      0                0.00
78          unassigned                      0                0.00
79          unassigned                      0                0.00
80          unassigned                      0                0.00
81          unassigned                      0                0.00
82          unassigned                      0                0.00
83          unassigned                      0                0.00
84          unassigned                      0                0.00
85          unassigned                      0                0.00
86          unassigned                      0                0.00
87          unassigned                      0                0.00
88          unassigned                      0                0.00
89          unassigned                      0                0.00
90          unassigned                      0                0.00
91          unassigned                      0                0.00
92          unassigned                      0                0.00
93          unassigned                      0                0.00
94          unassigned                      0                0.00
95          unassigned                      0                0.00
96          unassigned                      0                0.00
97          unassigned                      0                0.00
98          unassigned                      0                0.00
99          unassigned                      0                0.00
100         unassigned                      0                0.00
